rcore_module,rcore_type,kind,status,revcore_module,revcore_type,note
UI/Scrollview,OptimizedScrollItemTest,class,GAP,UI,,Test scene fixture; not a consumer-facing type (Phase 8 audit demoted from LIKELY)
UI/Scrollview,ScrollDirection,enum,PORTED,UI,ScrollDirection,RCore.UI -> RevCore.UI
UI/Scrollview,OptimizedScrollView,class,PORTED,UI,OptimizedScrollView,RCore.UI -> RevCore.UI
UI/Scrollview,OptimizedVerticalScrollView,class,PORTED,UI,OptimizedVerticalScrollView,RCore.UI -> RevCore.UI
UI/Scrollview,ScrollRectEx,class,PORTED,UI,ScrollRectEx,RCore.UI -> RevCore.UI
UI/Toggle,CustomToggleGroup,class,PORTED,UI,CustomToggleGroup,RCore.UI -> RevCore.UI
UI/Toggle,CustomToggleSlider,class,RENAMED,UI,JustToggle,CustomToggleSlider deleted from both frameworks in v0.5.0 — JustToggle is the drop-in replacement
UI/Toggle,CustomToggleEditor,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI/Toggle,JustToggle,class,PORTED,UI,JustToggle,RCore.UI -> RevCore.UI
UI/Toggle,SizeTransition,class,PORTED,UI,SizeTransition,RCore.UI -> RevCore.UI
UI/Toggle,PositionTransition,class,PORTED,UI,PositionTransition,RCore.UI -> RevCore.UI
UI/Toggle,ColorTransition,class,PORTED,UI,ColorTransition,RCore.UI -> RevCore.UI
UI/Toggle,SpriteTransition,class,PORTED,UI,SpriteTransition,RCore.UI -> RevCore.UI
UI/Toggle,CustomToggleTabEditor,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,ITweenItem,interface,PORTED,UI,ITweenItem,RCore.UI -> RevCore.UI
UI,UICircleArranger,class,PORTED,UI,UICircleArranger,RCore.UI -> RevCore.UI
Services/Ads,AdMobProvider,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Ads,ApplovinProvider,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Ads,IAdProvider,interface,GAP,,,RCore-only module — not in RevCore scope yet
Services/Ads,IRewardedAdListener,interface,GAP,,,RCore-only module — not in RevCore scope yet
Services/Ads,IInterstitialAdListener,interface,GAP,,,RCore-only module — not in RevCore scope yet
Services/Ads,IBannerAdListener,interface,GAP,,,RCore-only module — not in RevCore scope yet
Services/Ads,IronSourceProvider,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,ABConfigPropertyDrawer,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebase,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebaseAnalytics,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,AnalyticEvent,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebaseAuth,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebaseCrashlytics,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RDatabaseReference,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebaseDatabase,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,PlayerIdentityDoc,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,PlayerDataDoc,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebaseFirestore,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,PlayerIdentityDoc,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,PlayerDataDoc,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebaseFirestore,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,IRemoteConfig,interface,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebaseRemote,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,ABConfig,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,WaitForTaskStorage,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,SavedFileDefinition,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebaseStorage,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/GameServices,GameServices,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/GameServices,ConflictResolutionStrategy,delegate,GAP,,,RCore-only module — not in RevCore scope yet
Services/GameServices,ISavedGameMetadata,interface,GAP,,,RCore-only module — not in RevCore scope yet
Services/GameServices,SelectUIStatus,enum,GAP,,,RCore-only module — not in RevCore scope yet
Services/GameServices,GameServices,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/GameServices,GameServices,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/GameServices,AskFriendResolutionStatus,enum,GAP,,,RCore-only module — not in RevCore scope yet
Services/GameServices,GameServices,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/IAP,IAPManager,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Notification,DefaultSerializer,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Notification,GameNotification,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Notification,IPendingNotificationsSerializer,interface,GAP,,,RCore-only module — not in RevCore scope yet
Services/Notification,NotificationsManager,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Notification,OperatingMode,enum,GAP,,,RCore-only module — not in RevCore scope yet
Services/Notification,NotificationsPlatform,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Notification,PendingNotification,class,GAP,,,RCore-only module — not in RevCore scope yet
UI,ContentRectSizeFilter,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI/DragDrop,UIDragController,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI/DragDrop,UIDragHandler,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI/DragDrop,UIDraggableItem,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI/DragDrop,UIDraggableWorldItem,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,LeftSnapScrollView,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,PointerAlignment,enum,GAP,UI,,no RevCore equivalent found — port or drop?
UI,MessageWithPointer,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,MessagesHUD,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,Message,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,Bubble,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,Notification,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,ResolutionFixer,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,CanvasResolutionFixerEditor,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,UIGridScaler,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,ScaleType,enum,GAP,UI,,no RevCore equivalent found — port or drop?
UI,VerticalSnapScrollView,class,GAP,UI,,no RevCore equivalent found — port or drop?
